"Code","Label","Deaths from all causes, all ages","Life expectancy at birth for males","Life expectancy at birth for females","Deaths from all causes,  under 75 years","Deaths from all cancer,  under 75 years","Deaths from circulatory disease, all ages","Deaths from all cancer, all ages","Deaths from circulatory disease,  under 75 years","Deaths from coronary heart disease, all ages","Deaths from stroke, all ages","Deaths from respiratory diseases, all ages","Deaths from causes considered preventable, under 75 years, SMR"
"E06000001","Hartlepool",119.5,76.6,81.3,133.2,129.8,112.7,122.1,133.7,113.7,116,130.2,147.8
"E06000002","Middlesbrough",133.5,75.8,80,148,134.3,130.5,131.1,147.9,138.6,140.8,146.9,165.8
"E06000003","Redcar and Cleveland",111.5,77.9,81.7,120.8,116.9,115.3,111.3,128.9,123,120.7,118.7,130.5
"E06000004","Stockton-on-Tees",113,78.3,81.5,118,115.7,110.2,110.4,107.5,114.2,111.8,112.2,124.5
"E06000005","Darlington",110.1,78.6,81.9,115.7,109.6,102.6,108.3,109.4,104.5,108.3,115.8,118.5
"E06000006","Halton",120.3,77.5,81.1,126.1,126.4,112.6,123.3,122,120.4,114.4,142.4,134.6
"E06000007","Warrington",109.3,79,82.4,105.2,103.6,109.2,102.9,108.8,114.7,113.8,118,102.6
"E06000008","Blackburn with Darwen",128.4,76.8,80.3,136.4,117.8,126.9,117.5,149.8,158.5,115.8,164.7,151.7
"E06000009","Blackpool",136.5,74.2,79.5,167.2,133.7,133,122.2,167.2,145.4,123.5,161.8,187.8
"E06000010","Kingston upon Hull, City of",135.2,76,80.1,144.8,129.2,137.4,130.2,149.9,148.1,153.4,164.2,162.3
"E06000011","East Riding of Yorkshire",98.9,80.2,83.6,89.9,91.5,105.4,97.8,93.8,104.3,111.8,96.5,85.9
"E06000012","North East Lincolnshire",111.5,77.6,82.2,121.1,119.5,115.4,111.1,125.4,127.1,107.5,104.9,131.9
"E06000013","North Lincolnshire",106.6,78.9,82.6,108.6,107,107.5,106.9,102.1,108.3,104.8,112.3,113.2
"E06000014","York",95.8,80.2,83.6,95.9,100.4,99.7,97.9,92.4,99.3,100.7,92,92
"E06000015","Derby",107.5,78.4,82.3,116,110.6,110.6,106.6,122.9,115.2,106.1,104.8,120
"E06000016","Leicester",115.7,77.3,82,121.9,105.8,123.1,101.9,147.9,137.3,113.4,119.4,124.1
"E06000017","Rutland",81.6,82.6,85.5,69.8,81.2,84.2,83.5,64.6,82.8,78.3,69.3,66.4
